rule_score,ml_score,final_score,risk_level,triggered_rules,explanation,case_id,merchant_id,transaction_count,amount,location_mismatch,velocity_score,failed_attempts
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00001,MERCHANT_8270,28,4542.23,0,10.0,1
25,,25,LOW,['Location mismatch detected'],"Risk Level: LOW (Score: 25.0/100)

Triggered Rules:
  • Location mismatch detected
",CASE_00002,MERCHANT_9322,46,17517.79,1,21.23,0
20,,20,LOW,['High transaction count: 68'],"Risk Level: LOW (Score: 20.0/100)

Triggered Rules:
  • High transaction count: 68
",CASE_00003,MERCHANT_7420,68,116.66,0,39.99,0
45,,45,MEDIUM,"['High transaction count: 70', 'Location mismatch detected']","Risk Level: MEDIUM (Score: 45.0/100)

Triggered Rules:
  • High transaction count: 70
  • Location mismatch detected
",CASE_00004,MERCHANT_3747,70,3044.67,1,19.97,1
45,,45,MEDIUM,"['Location mismatch detected', 'Abnormal velocity: 80.84']","Risk Level: MEDIUM (Score: 45.0/100)

Triggered Rules:
  • Location mismatch detected
  • Abnormal velocity: 80.84
",CASE_00005,MERCHANT_4556,20,14868.44,1,80.84,0
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00006,MERCHANT_3612,44,1378.94,0,61.0,1
35,,35,MEDIUM,"['High transaction count: 53', 'Repeated failures: 5 attempts']","Risk Level: MEDIUM (Score: 35.0/100)

Triggered Rules:
  • High transaction count: 53
  • Repeated failures: 5 attempts
",CASE_00007,MERCHANT_4152,53,3670.55,0,18.49,5
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00008,MERCHANT_8629,19,231.41,0,38.87,0
25,,25,LOW,['Location mismatch detected'],"Risk Level: LOW (Score: 25.0/100)

Triggered Rules:
  • Location mismatch detected
",CASE_00009,MERCHANT_5887,18,759.49,1,7.46,2
40,,40,MEDIUM,"['Location mismatch detected', 'Repeated failures: 4 attempts']","Risk Level: MEDIUM (Score: 40.0/100)

Triggered Rules:
  • Location mismatch detected
  • Repeated failures: 4 attempts
",CASE_00010,MERCHANT_6258,24,6212.56,1,60.6,4
20,,20,LOW,['Abnormal velocity: 88.72'],"Risk Level: LOW (Score: 20.0/100)

Triggered Rules:
  • Abnormal velocity: 88.72
",CASE_00011,MERCHANT_4104,34,6539.38,0,88.72,1
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00012,MERCHANT_4840,30,1345.84,0,4.04,1
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00013,MERCHANT_8035,17,11906.33,0,41.04,1
20,,20,LOW,['High transaction count: 58'],"Risk Level: LOW (Score: 20.0/100)

Triggered Rules:
  • High transaction count: 58
",CASE_00014,MERCHANT_4157,58,4895.54,0,10.55,1
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00015,MERCHANT_6450,25,11866.56,0,64.77,0
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00016,MERCHANT_6864,31,899.56,0,48.48,1
20,,20,LOW,['Abnormal velocity: 97.18'],"Risk Level: LOW (Score: 20.0/100)

Triggered Rules:
  • Abnormal velocity: 97.18
",CASE_00017,MERCHANT_1663,34,6070.43,0,97.18,1
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00018,MERCHANT_8554,44,1676.25,0,60.96,1
20,,20,LOW,['High transaction count: 63'],"Risk Level: LOW (Score: 20.0/100)

Triggered Rules:
  • High transaction count: 63
",CASE_00019,MERCHANT_9164,63,3785.07,0,55.29,1
20,,20,LOW,['Abnormal velocity: 98.34'],"Risk Level: LOW (Score: 20.0/100)

Triggered Rules:
  • Abnormal velocity: 98.34
",CASE_00020,MERCHANT_5218,17,8126.31,0,98.34,1
0,,0,LOW,[],"Risk Level: LOW (Score: 0.0/100)

No significant risk indicators detected.
",CASE_00021,MERCHANT_7287,29,208.15,0,67.76,0
